code,trade_quote,time,time_actual,trade_price,open,high,low,ask_price_trade,bid_price_trade,ask_amount_trade,bid_amount_trade,change,volume,acc_volume,acc_buy_volume,acc_sell_volume,trade_buy_sell,trade_incoming_option,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_amount_1,ask_amount_2,ask_amount_3,ask_amount_4,ask_amount_5,ask_amount_total,ask_count_1,ask_count_2,ask_count_3,ask_count_4,ask_count_5,ask_count_total,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_amount_1,bid_amount_2,bid_amount_3,bid_amount_4,bid_amount_5,bid_amount_total,bid_count_1,bid_count_2,bid_count_3,bid_count_4,bid_count_5,bid_count_total
167R9,quote,152714,15:27:15.410527,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,2,121,85,178,147,5755,2,9,8,16,13,720,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152714,15:27:15.410527,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,1,121,85,178,147,5754,1,9,8,16,13,719,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152714,15:27:15.411525,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,1,121,85,178,123,5730,1,9,8,16,12,718,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152714,15:27:15.411525,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,1,121,85,178,147,5754,1,9,8,16,13,719,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152714,15:27:15.782533,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,1,121,85,178,147,5754,1,9,8,16,13,719,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152715,15:27:16.283195,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,1,121,85,178,147,5754,1,9,8,16,13,719,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152715,15:27:16.472689,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,1,121,85,178,147,5754,1,9,8,16,13,719,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152715,15:27:16.532528,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,1,121,85,178,147,5754,1,9,8,16,13,719,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152715,15:27:17.033191,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,1,121,85,178,147,5754,1,9,8,16,13,719,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152715,15:27:17.095025,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,2,121,85,178,147,5755,2,9,8,16,13,720,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152715,15:27:17.095025,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,121,85,178,147,5757,3,9,8,16,13,721,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152715,15:27:17.220689,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,121,85,178,147,5757,3,9,8,16,13,721,128.06,128.05,128.04,128.03,128.02,47,146,184,134,55,4858,7,14,15,10,12,558
167R9,quote,152716,15:27:17.474017,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,121,85,178,147,5757,3,9,8,16,13,721,128.06,128.05,128.04,128.03,128.02,47,146,184,134,55,4858,7,14,15,10,12,558
167R9,quote,152716,15:27:17.533853,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,121,85,178,147,5757,3,9,8,16,13,721,128.06,128.05,128.04,128.03,128.02,47,146,184,134,55,4858,7,14,15,10,12,558
167R9,quote,152716,15:27:17.534850,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,121,85,178,147,5757,3,9,8,16,13,721,128.06,128.05,128.04,128.03,128.02,47,146,184,134,55,4858,7,14,15,10,12,558
167R9,quote,152716,15:27:17.535848,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,121,85,178,147,5757,3,9,8,16,13,721,128.06,128.05,128.04,128.03,128.02,47,146,184,134,55,4858,7,14,15,10,12,558
167R9,trade,152716,15:27:17.722353,128.07,128.44,128.45,127.99,128.08,128.07,121,16,-0.37,48778,48778,23935,24843,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167R9,quote,152716,15:27:17.723346,,,,,,,,,,,,,,,,128.08,128.09,128.1,128.11,128.12,121,85,178,147,234,5753,9,8,16,13,12,718,128.07,128.06,128.05,128.04,128.03,16,47,146,184,134,4874,1,7,14,15,10,559
167R9,trade,152716,15:27:17.723346,128.07,128.44,128.45,127.99,128.08,128.06,121,47,-0.37,48794,48794,23935,24859,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167R9,quote,152716,15:27:17.724344,,,,,,,,,,,,,,,,128.08,128.09,128.1,128.11,128.12,121,85,178,147,234,5753,9,8,16,13,12,718,128.06,128.05,128.04,128.03,128.02,47,146,184,134,55,4858,7,14,15,10,12,558
167R9,quote,152716,15:27:17.724344,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,16,121,85,178,147,5769,1,9,8,16,13,719,128.06,128.05,128.04,128.03,128.02,47,146,184,134,55,4858,7,14,15,10,12,558
167R9,quote,152716,15:27:17.725341,,,,,,,,,,,,,,,,128.08,128.09,128.1,128.11,128.12,121,85,178,147,234,5753,9,8,16,13,12,718,128.06,128.05,128.04,128.03,128.02,47,146,184,134,55,4858,7,14,15,10,12,558
167R9,quote,152716,15:27:17.726338,,,,,,,,,,,,,,,,128.08,128.09,128.1,128.11,128.12,121,85,178,147,234,5753,9,8,16,13,12,718,128.06,128.05,128.04,128.03,128.02,47,146,184,126,55,4850,7,14,15,9,12,557
167R9,quote,152716,15:27:17.726338,,,,,,,,,,,,,,,,128.08,128.09,128.1,128.11,128.12,121,85,178,147,234,5753,9,8,16,13,12,718,128.06,128.05,128.04,128.03,128.02,47,146,192,126,55,4858,7,14,16,9,12,558
167R9,quote,152716,15:27:17.785265,,,,,,,,,,,,,,,,128.08,128.09,128.1,128.11,128.12,121,85,178,147,234,5753,9,8,16,13,12,718,128.06,128.05,128.04,128.03,128.02,47,146,184,126,55,4850,7,14,15,9,12,557
167R9,quote,152716,15:27:17.786204,,,,,,,,,,,,,,,,128.08,128.09,128.1,128.11,128.12,121,85,178,147,234,5753,9,8,16,13,12,718,128.06,128.05,128.04,128.03,128.02,47,146,176,126,55,4842,7,14,14,9,12,556
